iso,glottocode,name,family,family_code,classification,macroarea,countries,dialects,names,med,aes,refs,likely_script
sww,sowa1244,Sowa,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > North and Central Vanuatu > Central Vanuatu > South Pentecost > Seke-Sowa,Papunesia,VU,,Sowa language|Vanuatu,grammar sketch,extinct,6,Latin
swx,suru1263,Suruahá,Arawan,araw1282,Arawan,South America,BR,,Indios do Coxodoá|Mndios do Coxodoá|Sorowahá|Suruaha|Suruuarrás|Suruwahá|Zuruahá|Zuruahá language|Zuruahã|Зуруахаски јазик,grammar sketch,shifting,29,Latin
swy,saru1245,Sarua,Afro-Asiatic,afro1255,Afro-Asiatic > Chadic > East Chadic > East Chadic A > East Chadic A.1 > Sumrayic > Sarwa-Sumray,Africa,TD,,Saroua|Sarouaeg|Sarua jezik|Sarua language|Sarwa,grammar sketch,shifting,9,Latin
sxb,suba1238,Suba,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Northeast Savanna Bantu > Great Lakes Bantu > East Nyanza > Nyanza Mara > North Mara,Africa,KE;TZ;UG,,Olusuba,grammar sketch,not endangered,46,Latin
sxc,sica1234,Sicana,Unclassifiable,uncl1493,Unclassifiable,Eurasia,IT,,,Wordlist or less,extinct,2,
sxe,sigh1238,Sighu,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Bantu A-B10-B20-B30 > Bantu B20A > Siguic,Africa,GA,,Lesighu|Mississiou,grammar sketch,shifting,13,Latin
sxg,shix1238,Shixing,Sino-Tibetan,sino1245,Sino-Tibetan > Burmo-Qiangic > Na-Qiangic > Naic,Eurasia,CN,,Sichín|Xumi|史興話|旭米語,long grammar,shifting,32,
sxk,yonc1234,Yoncalla,Kalapuyan,kala1402,Kalapuyan,North America,US,,,Wordlist or less,extinct,4,
sxm,samr1245,Samre of Siem Reap,Bookkeeping,book1242,Bookkeeping,Eurasia,KH;TH,,East Pear|Samre|Samre or Siem Reap|Samrè,grammar,nearly extinct,9,
sxn,sang1336,Sangir,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Sangiric-Minahasan > Sangiric > Northern Sangiric > Sangil-Sangir,Papunesia,ID;PH,Manganitu|North Tabukang|Siau (Sangir)|South Tabukang|Tamako,Bahasa Sangihe|Sangi|Sangih|Sangihé|Sangir language|Sangirese,long grammar,shifting,42,Latin
sxo,,Sorothaptic,,,,,,,,,,,
sxr,saar1237,Saaroa,Austronesian,aust1307,Austronesian > Tsouic > Kanakanavu-Saaroa,Papunesia,CN;TW,,Hla'alua|La'alua|La'arua|Lha’alua|Pachien|Paichien|Rarua|Saaroa language|Saarua|Saroa|Shishaban|Sisyaban,long grammar,nearly extinct,16,Latin
sxs,sasa1247,Sasaru,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Akpes-Edoid > Edoid > Northwestern Edoid > Igwic > Sasaru-Igwe,Africa,NG,,Nigeria,Wordlist or less,not endangered,3,Latin
sxu,uppe1400,Central East Middle German,Indo-European,indo1319,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Middle German > East Middle German,Eurasia,DE,Anhaltisch|Breslauisch|Central Thuringian|East Thuringian|High East Prussian|Ilm Thuringian|Meissnisch|Nordmeissnisch|Nordobersächsisch-Südmärkisch|Nordwestböhmisch|North Thuringian|North Upper Saxon|Northeast Thuringian|Oberländisch|Osterländisch|Osterzgebirgisch|Ostmeissnisch|South Upper Saxon|Southeast Thuringian|Südmeissnisch|Thuringian|Upper Saxon|Vorerzgebirgisch|Vorvogtländisch|West Thuringian|Westerzgebirgisch|Westlausitzisch|Westlich Nordböhmisch|Westmeissnisch,"Alto sassone|Hoegsaksisch|Hoogsaksisch|Sachsiska|Saxon, Upper|Upper Saxon|Upper Saxon German|Верхнесаксонский диалект",grammar sketch,not endangered,69,Runic
sxw,saxw1241,Saxwe Gbe,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Gbe > Eastern Gbe > Western Phla-Phera,Africa,BJ,Daxe|Saxwe|Se,"Gbe, Saxwe|Saxwe|Saxwe-Gbe",grammar sketch,not endangered,7,Latin
sya,sian1254,Siang,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Basap-Greater Barito > Greater Barito linkage > North West Greater Barito,Papunesia,ID,Murung 2|Nuclear Siang,Ot Siang,grammar sketch,not endangered,7,Latin
syb,cent2089,Central Subanen,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Greater Central Philippine > Subanen > Nuclear Subanen > East Nuclear Subanen,Papunesia,PH,Eastern Kolibugan,"Sindangan Subanun|Subanen, Central",grammar sketch,threatened,38,Latin
syc,clas1252,Classical Syriac,Afro-Asiatic,afro1255,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Northwest Semitic > Aramaic > Imperial-Middle-Modern Aramaic > Middle-Modern Aramaic > Eastern Aramaic,Eurasia,TR,Eastern Syriac|Western Syriac,Ancient Syriac|Bahasa Suryani|Gammelsyrisk|Język syryjski|Lingua Syriaca|Lingua siriaca|Lishana Atiga|Língua siríaca|Siria lingvo|Siricis|Sirieg|Sirijski jezik,long grammar,extinct,26,Syriac
syi,seki1238,Seki,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Bantu A-B10-B20-B30,Africa,CM;GA;GQ,,Beseki|Bulu|Seke|Sekiana|Sekiani|Sekiyani|Sekyani|Seseki|Sheke|Shekiyana,phonology/text,threatened,34,Latin
syk,suku1272,Sukur,Afro-Asiatic,afro1255,Afro-Asiatic > Chadic > Biu-Mandara > South Biu-Mandara,Africa,NG,,Adikimmu Sukur|Gemasakun|Sakul|Sakun|Sugur,long grammar,threatened,7,Latin
syl,sylh1242,Sylheti,Indo-European,indo1319,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Oriya-Gauda-Kamrupa > Gauda-Kamrupa > Gauda-Banga > Eastern Bengali,Eurasia,BD;IN;MM,,Bengali of Cachar|Idioma sylheti|Lenga sylheti|Lingua Silati|Sileti|Siloti|Siloti keel|Srihattia|Sylheti Bengali|Sylheti language|Sylhetti|Sylhetti Bangla,grammar sketch,not endangered,12,Bengali
sym,maya1281,Maya Samo,Mande,mand1469,Mande > Eastern Mande > Bisa-Busa > Samo-Busa > Mande Samo,Africa,BF,Bangassogo|Bounou|Gomboro|Kiembara,"Northeastern Samo|Northern Samo|Sa|Samo|Samo, Maya|San|Somono",Wordlist or less,not endangered,5,Latin
syn,,Senaya,,,,,,,,,,,Syriac
syo,suoy1242,Suoy,Austroasiatic,aust1305,Austroasiatic > Pearic > Western Pearic > Southern Chong,Eurasia,KH,,Kasong|Pear|Su'ung,phonology/text,shifting,7,Latin
sys,siny1243,Sinyar,Central Sudanic,cent2225,Central Sudanic > Sara-Bongo-Bagirmi,Africa,SD;TD,,Shamya|Shamyan|Shemya|Sinya|Symiarta|Taar Shamyan|Zimirra,phonology/text,not endangered,10,Latin
syw,kaga1252,Kagate,Sino-Tibetan,sino1245,Sino-Tibetan > Bodic > Bodish > Early Old Tibetan > Middle Old Tibetan > Late Old Tibetan > Central Tibetan > South-Western Tibetic > Kyirong-Kagate > Yolmo-Kagate,Eurasia,NP,,K?gate|Kagate Bhote|Kāgatē|Shuba|Shyuba|Syuba,phonology/text,threatened,19,Devanagari
syx,osam1235,Osamayi,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Bantu A-B10-B20-B30 > Bantu B20A > Kotaic,Africa,GA,,,grammar sketch,threatened,14,Latin
syy,alsa1242,Al-Sayyid Bedouin Sign Language,Sign Language,sign1238,Sign Language > L1 Sign Language,Eurasia,IL,,ABSL,phonology/text,shifting,13,
sza,seme1247,Semelai,Austroasiatic,aust1305,Austroasiatic > Aslian > South Aslian > Semelai-Semaq,Eurasia,MY,,Bera|Semelai Bera|Serting,long grammar,threatened,35,Latin
szb,ngal1298,Ngalum,Nuclear Trans New Guinea,nucl1709,Nuclear Trans New Guinea > Asmat-Awyu-Ok > Awyu-Ok > Ok-Oksapmin > Ok,Papunesia,ID;PG,Apmisibil|Nuclear Ngalum|Sibil,Sibil,phonology/text,threatened,27,Latin
szc,sema1265,Semaq Beri,Austroasiatic,aust1305,Austroasiatic > Aslian > South Aslian > Semelai-Semaq,Eurasia,MY,,Semaq Bri|Semaq beri|Semoq Beri|Ulu Tembeling,grammar sketch,shifting,17,Latin
szd,seru1247,Seru,Bookkeeping,book1242,Bookkeeping,Papunesia,MY,,,Wordlist or less,extinct,1,
sze,seze1235,Seze,Blue Nile Mao,maoo1243,Blue Nile Mao > West Mao > Hozo-Seze,Africa,ET,,Sezo,long grammar,shifting,23,
szg,seng1278,Sengele,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Central-Western Bantu > North Zaire River > Inner Basin Bantu > Cuvette > Mongoic,Africa,CD,,Kesengele|Sengere,grammar sketch,not endangered,23,Latin
szl,sile1253,Silesian,Indo-European,indo1319,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > West Slavic > Lechitic > Polish-Silesian,Eurasia,PL,,Bahasa Silesia|Basa Silesia|Ces: slezský jazyk|Cànan Silesianach|Eng: Silesian|Gjuha silesiane|Hoogsilezisch|Idioma silesiano|Język śląski|Kisilesia|Lang silezyen|Lenghe slesiane,grammar sketch,threatened,88,Latin
szn,sula1248,Sula,Austronesian,aust1307,Austronesian > Malayo-Polynesian > West Central Maluku > Sula-Buru,Papunesia,ID,Facei|Fagudu|Falahu|Mangole|Sanana,Sulaic,long grammar,threatened,15,Latin
szp,suab1238,Suabo,South Bird's Head,sout3418,South Bird's Head > Inanwatanic,Papunesia,ID,,Bira|Iagu|Inanwatan|Itigo|Mirabo|Solowat|Suabau,grammar,nearly extinct,20,Latin
szs,solo1262,Solomon Islands Sign Language,Sign Language,sign1238,Sign Language > L1 Sign Language > BSLic > BANZSL > Auslanic,Papunesia,SB,,,Wordlist or less,not endangered,3,
szv,isuf1235,Isu (Fako Division),Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Bantu A-B10-B20-B30 > Sawabantu > Dualaic > Kole-Isubu,Africa,CM,,Bimbia|Isu|Isubu|Isuwu|Su|Subu|Suwu,grammar,shifting,34,Latin
szw,sawa1247,Sawai,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > South Halmahera-West New Guinea > Raja Ampat-South Halmahera > South Halmahera > Gebeic > Central-Eastern South Halmahera > Gamrange,Papunesia,ID,Faya-Mafa|Kobe (Indonesia)|Messa-Dote|Nuclear Sawai|Weda,Weda|Weda-Sawai|Were,grammar sketch,threatened,24,Latin
szy,saki1247,Sakizaya,Austronesian,aust1307,Austronesian > East Formosan > Central East Formosan,Papunesia,CN,,Sakiray|Sakiraya,grammar,not endangered,7,Latin
taa,lowe1425,Lower Tanana,Athabaskan-Eyak-Tlingit,atha1245,Athabaskan-Eyak-Tlingit > Athabaskan-Eyak > Athabaskan > Central Alaska-Yukon Athabaskan > Tanana-Tutchone > Tananaic,North America,US,Chena (Lower Tanana)|Minto-Tolovana-Toklat-Nenana-Wood River|Salcha-Goodpastor,"(Lower) Tanana|Lower Tanana language|Minto|Nabesna|Tanana|Tanana (Lower)|Tanana, Lower",grammar sketch,nearly extinct,152,Latin
tab,taba1259,Tabasaran,Nakh-Daghestanian,nakh1245,Nakh-Daghestanian > Daghestanian > Lezgic > Samur > Eastern Samur > Tabasaran-Aghul-Lezgi,Eurasia,AZ;KZ;RU,North Tabasaran|South Tabasaran,Ghumghum|Język tabasarański|Língua tabassarã|Tabasaraans|Tabasaran dili|Tabasaran language|Tabasaranera|Tabasaranin kieli|Tabasarano|Tabasarantsy|Tabasareg|Tabassaran,long grammar,threatened,39,Cyrillic
tac,lowl1265,Western Tarahumara,Uto-Aztecan,utoa1244,Uto-Aztecan > Southern Uto-Aztecan > Tarahumara-Guarijio > Tarahumaran,North America,MX,Guazapar|Urique Tarahumara|Uruachi Tarahumara,Baja Tarahumara|Lowland Tarahumara|Ralámuli de la Tarahumara Baja|Rocoroibo|South-western|Southwestern|Tarahumara|Tarahumara (Western)|Tarahumara Baja|Tarahumara del Poniente|Tarahumara del Suroeste|Tarahumara nord-occidental,grammar,threatened,25,Latin
tad,taus1252,Tause,Lakes Plain,lake1255,Lakes Plain > Tariku > West Tariku,Papunesia,ID,Deirate|Nuclear Tause|Weirate,Darha|Doa|Tause language|ภาษาตัวเซ,phonology/text,shifting,17,Latin
tae,tari1256,Tariana,Arawakan,araw1281,Arawakan > Japura-Colombia > Nuclear Japura-Colombia > Northeast Japura-Colombia > Baniwa-Curripaco-Tariano,South America,BR;CO,Kumandene Tariana|Periquitos Tariana|Periquitos-Santa Rosa Tariana|Santa Rosa Tariana,Taliáseri|Tariana (Brésil)|Tariana (Colombie)|Tariana language|Tariano|Tariano (Colombia)|Tariâna|Tarîna,long grammar,nearly extinct,168,Latin
taf,tapi1254,Tapirapé,Tupian,tupi1275,Tupian > Eastern Tupian > Maweti-Guarani > Aweti-Guarani > Tupi-Guarani > Tupi-Guarani Subgroup IV,South America,BR,,Apyãwa|Tapi'irape|Tapirape,long grammar,shifting,53,Latin
tag,tago1246,Tagoi,Rashad,rash1249,Rashad,Africa,SD,Goy|Moreb|Orig|Tumale,Język tagoi|Lingua tagoi|Tagoi language|Tagoieg|Tagoy|Tagoí|Tumale|Umāle,grammar sketch,threatened,65,Latin
tah,tahi1242,Tahitian,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Central Pacific linkage > Tokalau Fijian > Polynesian > Nuclear Polynesian > Northern Outlier Polynesian-East Polynesian > Solomons Northern Outlier Polynesian-East Polynesian > Central Northern Outlier Polynesian-East Polynesian > East Polynesian > East Polynesian Proximal > Southern East Polynesian Proximal > Tahitian-Austral,Papunesia,PF,,Idioma tahitiano|Język tahitański|Lengua tahitiann-a|Língua taitiana|Reo Tahiti|Tahiti|Tahiti simi|Tahitiaans|Tahitian language|Tahitianische Sprache|Tahitieg|Tahitien,long grammar,not endangered,80,
taj,east2347,Eastern Tamang,Sino-Tibetan,sino1245,Sino-Tibetan > Bodic > Kaike-Ghale-Tamangic > Ghale-Tamangic > Tamangic > Nuclear Tamang,Eurasia,IN;NP,Central-Eastern Tamang|Outer-Eastern Tamang,"Murmi|Tamang|Tamang language|Tamang, Eastern|Tamang,Eastern|Таманґ|तामाङ भाषा|ภาษาตามัง|达芒语",long grammar,threatened,39,Devanagari
tak,tala1295,Tala,Afro-Asiatic,afro1255,Afro-Asiatic > Chadic > West Chadic > West Chadic B > West Chadic B.3 > South Bauchi East > Guruntumic > Tala-Sho-Zangwal > Tala-Zamwar,Africa,NG,,Gurdu-mbaaru|Gurdung|Guruntum|Guruntum-Mbaaru,phonology/text,shifting,8,Latin
tal,tall1250,Tal,Afro-Asiatic,afro1255,Afro-Asiatic > Chadic > West Chadic > West Chadic A > West Chadic A.2-3 > West Chadic A.3 > Goemaic > Talic,Africa,NG,,Amtul|Kwabzak|Tal language,phonology/text,not endangered,12,Latin
tam,tami1289,Tamil,Dravidian,drav1251,Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Tamil-Kota > Tamil-Toda > Tamil-Irula > Tamil-Kodagu > Tamil-Malayalam > Tamiloid > Tamil-Paliyan,Eurasia,IN;LK,Adi Dravida|Aiyangar|Aiyar|Arava|Burgandi|Burma Tamil|Harijan|Hebbar|Kongar|Madrasi|Malaya Tamil|Mandyam Brahmin|Nuclear Tamil|Sanketi|Secunderabad Brahmin|South Africa Tamil|Sri Lanka Tamil|Tigalu,Bahasa Tamil|Basa Tamil|Damulian|Gjuha tamile|Idioma tamil|Język tamilski|Kitamil|Lengua tamil|Limba tamilă|Lingua Tamulica|Lingua tamil|Língua tâmil,long grammar,not endangered,411,
tan,nucl1696,Tangale,Afro-Asiatic,afro1255,Afro-Asiatic > Chadic > West Chadic > West Chadic A > West Chadic A.2-3 > West Chadic A.2 > Tangalic > Nuclear Tangalic > Tangale-Kwami-Kupto,Africa,NG,Biliri|Kaltungo|Shongom|Ture,Tanagale|Tangale language|Tangle,grammar,threatened,112,Latin
tao,yami1254,Yami,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Batanic > Yami-Itbayat,Papunesia,CN;TW,,Botel Tabago|Botel Tobago|Lanyu|Lengua yami|Sprache von Formosa|Tao|Tawu|Wikang Tao|Yami language|ภาษาเตา|達悟|雅美,grammar,moribund,44,Latin
tap,taab1238,Taabwa,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Sabi > Malungu-Central Sabi,Africa,CD;ZM,Shila,Ichitaabwa|Rungu|Tabwa|Zabwa,grammar,not endangered,38,Latin
