iso,glottocode,name,family,family_code,classification,macroarea,countries,dialects,names,med,aes,refs,likely_script
aaa,ghot1243,Ghotuo,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Akpes-Edoid > Edoid > North-Central Edoid > Afenmai-Bendel,Africa,NG,,Ghotuo jezik|Ghotuo language|Otuo|Otwa,phonology/text,not endangered,8,Latin
aab,alum1246,Arum,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Benue-Congo Plateau > Alumic > Alumu-Akpondu,Africa,NG,Alumu|Tesu,Alumu|Alumu-Tesu|Arum-Cesu|Arum-Chessu|Arum-Tesu,phonology/text,not endangered,19,Latin
aac,arii1243,Ari,Suki-Gogodala,suki1244,Suki-Gogodala > Gogodalic > Ari-Waruna,Papunesia,PG,,Ari jezik|Ari language|Lenga Ari,Wordlist or less,moribund,4,Latin
aad,amal1242,Amal,Sepik,sepi1257,Sepik,Papunesia,PG,,Alai|Amal jezik|Amal language|Amaleg|Amel,Wordlist or less,shifting,5,Latin
aae,arbe1236,Arbëreshë Albanian,Indo-European,indo1319,Indo-European > Classical Indo-European > Albanian > Albanian-Tosk > Southern Tosk,Eurasia,IT,Calabrian Albanian|Campo Marino Albanian|Central Mountain Albanian|Sicilian Albanian,"Albanesisch|Albanian|Albanian, Arbëreshë|Arber|Arbereshe Albanian|Arberesjiska|Arberés|Arbresh|Arbërerisht|Arbëresh language|Arbëreshë|Arbëreshë albanski",grammar,threatened,40,Latin
aaf,aran1261,Aranadan,Dravidian,drav1251,Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Tamil-Kota > Tamil-Toda > Tamil-Irula > Tamil-Kodagu > Tamil-Malayalam > Malayalamoid,Eurasia,IN,,Aranatan|Eranadans,phonology/text,shifting,13,Malayalam
aag,ambr1239,Ambrak,Nuclear Torricelli,nucl1708,Nuclear Torricelli > Wapei-Palei > Central Torricelli > Nuclear Palai > Yangum-Ambrak,Papunesia,PG,,,Wordlist or less,threatened,3,Latin
aah,abua1245,Abu' Arapesh,Nuclear Torricelli,nucl1708,Nuclear Torricelli > Kombio-Arapesh-Urat > Arapesh > Mufian-Bukiyip-Abu > Bukiyip-Abu,Papunesia,PG,,Abu'|Abu’ Arapesh|Ua,long grammar,shifting,8,Latin
aai,arif1239,Arifama-Miniafia,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Western Oceanic linkage > Papuan Tip linkage > Nuclear Papuan Tip linkage > North Papuan Mainland-D'Entrecasteaux linkage > Are-Taupota linkage > Are linkage,Papunesia,PG,Arifama|Miniafia,Miniafia-Arifama,grammar sketch,shifting,22,Latin
aak,anka1246,Ankave,Angan,anga1289,Angan > Nuclear Angan > Ankave-Tainae-Akoye,Papunesia,PG,Ankai|Bu'u|Miyatnu|Sawuve|Wiyagwa|Wunavai,Angave|Ankave jezik|Ankave language,grammar,not endangered,21,Latin
aal,afad1236,Afade,Afro-Asiatic,afro1255,Afro-Asiatic > Chadic > Biu-Mandara > North Biu-Mandara > Kotoko-Buduma > Kotoko Septentrional > Kotoko Septentrional 1,Africa,CM;NG,,Afada|Afade jezik|Afade language|Afadeg|Afadeh|Affade|Kotoko|Mandage|Mandagué|Mogari|Ngala,grammar sketch,not endangered,69,Latin
aam,aram1252,Aramanik,Bookkeeping,book1242,Bookkeeping,Africa,TZ,,,Wordlist or less,extinct,1,
aan,anam1249,Anambé,Tupian,tupi1275,Tupian > Eastern Tupian > Maweti-Guarani > Aweti-Guarani > Tupi-Guarani > Tupi-Guarani Subgroup V > Arawetic,South America,BR,,Amanage|Amanajo|Amanajé|Amanayé|Anambe|Anambé language|Anambé of Cairarí|Guajá|Ka'apór|Manajo|Manaxo|Manaze,grammar,extinct,24,Latin
aao,alge1240,Algerian Saharan Arabic,Afro-Asiatic,afro1255,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi,Africa,DZ;EH;LY;MA;NE,,"Arabe saharien|Arabic|Arabic, Algerian Saharan Spoken|Bedouin Saharan Dialects|Saharan Arabic|Saharski arapski|Tamanghasset Arabic|Tamanrasset Arabic|Árabe sahariano|Сахарски арапски јазик",grammar,not endangered,4,Arabic
aap,para1310,Pará Arára,Cariban,cari1283,Cariban > Pekodian > Xinguan,South America,BR,,"Ajujure|Arara|Arara do Para|Arara do Pará|Arara du Pará|Arara-Parirí|Arára de Pará|Arára, Pará|Para Arara|Pariri|Parirí",grammar,threatened,46,Latin
aaq,east2544,Eastern Abenaki,Algic,algi1248,Algic > Algonquian-Blackfoot > Algonquian > Eastern Algonquian > Maritimes-Southern New England Algonquian > Northern Eastern Algonquian > Abenaki,North America,US,Penobscot,"Abenaki|Abenakí oriental|Abnaki|Abnaki, Eastern|Abénaqui oriental|Eastern Abnaki|Eastern Abnaki language|Istočnoabnački jezik",grammar sketch,extinct,19,Latin
aar,afar1241,Afar,Afro-Asiatic,afro1255,Afro-Asiatic > Cushitic > East Cushitic > Lowland East Cushitic > Saho-Afar,Africa,DJ;ER;ET,Aussa|Baadu|Central Afar|Northern Afar,"""Danakil""|""Denkel""|Adal|Afar language|Afara lingvo|Afaraf|Afareg|Afariko|Afarin kieli|Afarski jezik|Afarčina|Afarština",long grammar,not endangered,152,
aas,aasa1238,Aasax,Afro-Asiatic,afro1255,Afro-Asiatic > Cushitic > South Cushitic,Africa,TZ,,"""Dorobo""|""Ndorobo""|Aasax hizkuntza|Aasá|Aasáx|Aasáx jezik|Aasáx language|Asa|Asak|Asakeg|Asax|Assa",phonology/text,extinct,21,Latin
aat,arva1236,Arvanitika Albanian,Indo-European,indo1319,Indo-European > Classical Indo-European > Albanian > Albanian-Tosk > Southern Tosk,Eurasia,GR,Northwestern Arvanitika|South Central Arvanitika|Thracian Arvanitika,"Albanesisch|Albanian|Albanian, Arvanitika|Arber|Arberichte|Arbresh|Arnaut|Arvaniteg|Arvanitic|Arvanitico|Arvanitika|Arvanitiska",long grammar,threatened,24,Greek
aau,abau1245,Abau,Sepik,sepi1257,Sepik,Papunesia,PG,,Abaoeg|Abau jezik|Abau language|Djarok|Green River|Język abau|Limba abau|Lingua abau,long grammar,shifting,120,Latin
aaw,solo1258,Solong,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Western Oceanic linkage > North New Guinea linkage > Ngero-Vitiaz linkage > Vitiaz linkage > Southwest New Britain linkage > Arawe-Pasismanua > Arawe > West Arawe,Papunesia,PG,Nuclear Arawe,Arare|Arawe|Arove|Pililo,Wordlist or less,not endangered,8,Latin
aax,mand1444,Mandobo Atas,Nuclear Trans New Guinea,nucl1709,Nuclear Trans New Guinea > Asmat-Awyu-Ok > Awyu-Ok > Greater Awyu > Awyu-Dumut > Dumut > Mandobo,Papunesia,ID,Langgoan|Maju Mandobo|Wariktop|Winiktit,"""Kaeti""|Dumut|Kaeti|Kambon|Kwem|Mandobbo|Nub|Wambon",grammar sketch,threatened,15,Latin
aay,aari1240,Aariya,Bookkeeping,book1242,Bookkeeping,Eurasia,IN,,,Wordlist or less,,1,
aaz,amar1273,Amarasi,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Timor-Babar > Rote-Meto > West Rote > Dengka-Meto > Meto,Papunesia,ID,Amabi|Kotos|Ro'is|Ro'is Hero|Ro'is Tais Nonof,Timor Amarasi,phonology/text,threatened,15,Latin
aba,abee1242,Abé,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Nyo > Agneby,Africa,CI,Abbey-Ve|Kos|Morie|Tioffo,Abbey|Abbé|Abe|Abi|Abé jezik|Abé language|Lenga Abé|Lingua abé,grammar,not endangered,7,Latin
abb,bank1256,Bankon,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Bantu A-B10-B20-B30 > Basaa-Yaunde (A40-70) > Basaa (A.40) > Abo-Barombi,Africa,CM,,Abaw|Abo|Bankon language|Bo|Bon,grammar,threatened,29,Latin
abc,amba1267,Ambala Ayta,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Central Luzon > Sambalic,Papunesia,PH,,"Ambala Agta|Ambala Sambal|Ambala language|Ayta, Ambala|ภาษาอัมบาลา",Wordlist or less,threatened,15,Latin
abd,cama1250,Camarines Norte Agta,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Greater Central Philippine > Central Philippine > Alabat-Manide Agta,Papunesia,PH,,"Agiyan|Agta|Agta de Camarines Norte|Agta de Camarines-nord|Agta, Camarines Norte|Camarines Norte|Manide",grammar sketch,threatened,15,Latin
abe,west2630,Western Abenaki,Algic,algi1248,Algic > Algonquian-Blackfoot > Algonquian > Eastern Algonquian > Maritimes-Southern New England Algonquian > Northern Eastern Algonquian > Abenaki,North America,CA;US,,"Abenaki|Abenaki (Western)|Abenakí occidental (Estados Unidos)|Abenaqui|Abnaki|Abnaki (Western)|Abnaki, Western|Abénaqui occidental (Canada)|Abénaqui occidental (États-Unis d'Amérique)|St Francis|St. Francis|Western",grammar sketch,nearly extinct,23,Latin
abf,abai1240,Abai Sungai,Austronesian,aust1307,Austronesian > Malayo-Polynesian > North Borneo Malayo-Polynesian > Sabahan > Southwest Sabahan > Greater Dusunic > Paitanic,Papunesia,MY,,Abai sungai,phonology/text,shifting,4,Latin
abg,abag1245,Abaga,Nuclear Trans New Guinea,nucl1709,Nuclear Trans New Guinea > Kainantu-Goroka > Goroka > Nuclear Goroka > Siane-Yagaria > Kamano-Yagaria > Unclassified Kamano-Yagaria,Papunesia,PG,,Vaga|Wagaba|Wagama,phonology/text,nearly extinct,7,Latin
abh,taji1248,Tajiki Arabic,Afro-Asiatic,afro1255,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Eastern Arabic > Central Asian Arabic,Eurasia,AF;TJ;UZ,Balkh Arabic|Buxara Arabic,"Arabe d'Asie centrale|Arabic|Arabic, Tajiki Spoken|Bukhara Arabic|Buxara Arabic|Central Asian Arabic|Jugari|Tadžički arapski|Tajiji Arabic|Tajiki Spoken|Tajiki Spoken Arabic|Árabe asiático central",grammar,shifting,40,Arabic
abi,abid1235,Abidji,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Nyo > Agneby,Africa,CI,Enyembe|Ogbru,Abiji,grammar,not endangered,21,Latin
abj,akab1249,Akabea,Great Andamanese,grea1241,Great Andamanese > South Great Andamanese,Eurasia,IN,,Aka-Bea|Aka-Bea language|Aka-Beada|Aka-Biada|Aka-bea jezik|Andamanese|Bahasa Aka-Bea|Bea|Beada|Biada|Bogijiab|Bojigniji,long grammar,extinct,34,Latin
abk,abkh1244,Abkhaz,Abkhaz-Adyge,abkh1242,Abkhaz-Adyge > Abkhaz-Abaza,Eurasia,GE;RU;TR,Abzhui|Bzyb|Samurzakan,Abc'hazeg|Abchaseg|Abchasische Sprache|Abchazisch|Abchaziska|Abchazų kalba|Abcházština|Abhaasin kieli|Abhaski jezik|Abhaz dili|Abhazca|Abhaški jezik,long grammar,threatened,68,
abl,lamp1242,Lampung Nyo,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Lampungic,Papunesia,ID,Jabung|Kota Bumi|Menggala,,grammar sketch,threatened,17,Rejang
abm,aban1242,Abanyom,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Ekoid-Mbe > Ekoid > Bakor-Ejagham > Bakor > Northern Bakor > Abanyom-Nkem-Nkum,Africa,NG,,Abanjom|Abanjommál|Abanyom jezik|Abanyom language|Abanyum|Befun|Bofon|Lenga Abanyom|Lingua abanyom|Mbofon|அபன்யோம் மொழி,Wordlist or less,not endangered,11,Latin
abn,abua1244,Abua,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Delta Cross > Central Delta > Abua-Odual,Africa,NG,Central Abuan|Emughan|Okpeden|Otapha,Abuan,grammar sketch,not endangered,21,Latin
abo,abon1238,Abon,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Tivoid > North Tivoid,Africa,CM;NG,,Abong|Abõ|Ba'ban,Wordlist or less,threatened,6,Latin
abp,aben1249,Abenlen Ayta,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Central Luzon > Sambalic > Abellen-Botolan,Papunesia,PH,,"Abellen Ayta|Abellen language|Abenlen|Aburlin Negrito|Ayta Abenlen Sambal|Ayta, Abenlen|Sambal|ภาษาอาเบลเลน",grammar sketch,shifting,16,Latin
abq,abaz1241,Abaza,Abkhaz-Adyge,abkh1242,Abkhaz-Adyge > Abkhaz-Abaza,Eurasia,RU;TR,Ashkaraua|Bezshagh|Tapanta,Abasiini keel|Abasinische Sprache|Abasínska|Abaza language|Abaza lingvo|Abaza nyelv|Abazaca|Abazan kieli|Abazeg|Abazijns|Abazin|Abazinska,long grammar,threatened,37,Cyrillic
abr,abro1238,Abron,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Nyo > Potou-Tano > Tano > Central Tano > Akanic,Africa,CI;GH,,Abron jezik|Abron language|Bron|Brong|Doma|Gyaman|Lenga Abron|Lingua abrón|Língua abron,long grammar,not endangered,19,Latin
abs,ambo1250,Ambonese Malay,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > Vehicular Malay > Eastern Indonesia Trade Malay > Ambonic Malay,Papunesia,ID,Ambon Malay|Dobo Malay|Melayu Sini,"Ambonese|Ambong|Malay, Ambonese|Malayu Ambon",long grammar,not endangered,28,Latin
abt,ambu1247,Ambulas,Ndu,nduu1242,Ndu > Nuclear Ndu > Ambulas-Hanga-Hundi,Papunesia,PG,Maprik|Wingei|Wosera-Kamu|Wosera-Mamu,Abelam|Abulas|Ambelas|Hanga Hundi|Kwasengen|West Wosera,long grammar,threatened,138,Latin
abu,abur1243,Abure,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Nyo > Potou-Tano > Tano > Western Tano,Africa,CI,,Abonwa|Abouré|Abule|Akaplass,long grammar,not endangered,20,Latin
abv,baha1259,Baharna Arabic,Afro-Asiatic,afro1255,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic > North Arabian Beduin Arabic,Eurasia,BH;OM,,"Arabeg Bahrein|Arabic|Arabic (Bahrain)|Arabic (Eastern)|Arabic, Baharna Spoken|Baharna|Baharna Spoken|Baharna arapski|Baharnah|Bahraini Shi'ite Arabic|Bahrani Arabic|Bahrayn",long grammar,not endangered,8,Arabic
abw,pall1244,Pal,Nuclear Trans New Guinea,nucl1709,Nuclear Trans New Guinea > Madang > Croisilles > Omosan,Papunesia,PG,,Abasaku|Abasakur,Wordlist or less,not endangered,3,Latin
abx,inab1237,Inabaknon,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Basap-Greater Barito > Greater Barito linkage > Sama-Bajaw,Papunesia,PH,,Abaknon|Abaknon Sama|Capul|Capuleño|Kapul|Sama,grammar sketch,not endangered,7,Latin
aby,anem1248,Aneme Wake,Yareban,yare1250,Yareban > Doriri-Abia,Papunesia,PG,Auwaka|Buniabura|Doma (Papua New Guinea)|Jari|Mori,Abia|Abie,grammar sketch,not endangered,12,Latin
abz,abui1241,Abui,Timor-Alor-Pantar,timo1261,Timor-Alor-Pantar > Alor-Pantar > Nuclear Alor-Pantar > Central Alor > Abuic,Papunesia,ID,Alakaman|Atimelang|Kobola|Papuna,"""Barawahing""|Abui language|Barue|Lingua abui|Namatalaki",long grammar,shifting,28,Latin
aca,acha1250,Achagua,Arawakan,araw1281,Arawakan > Japura-Colombia > Nuclear Japura-Colombia > Northeast Japura-Colombia > Piapoco-Achagua,South America,CO,,Achagua language|Achawa|Achugua|Ajagua|Xagua,grammar,shifting,66,Latin
acb,anca1236,Áncá,Bookkeeping,book1242,Bookkeeping,Africa,NG,,Anca|Bunta,Wordlist or less,not endangered,1,Latin
acc,achi1258,"Achi', Cubulco",Bookkeeping,book1242,Bookkeeping,North America,GT,,,Wordlist or less,,1,
acd,giky1238,Gikyode,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Nyo > Potou-Tano > Tano > Guang > North Guang > Oti North Guang > Mountain Oti North Guang > Gikyode-Ginyanga > Gikyode-Foodo,Africa,GH;TG,,Chode|Guang|Kyode,phonology/text,not endangered,27,Latin
ace,achi1257,Acehnese,Austronesian,aust1307,Austronesian > Malayo-Polynesian > Malayo-Chamic > Aceh-Chamic,Eurasia;Papunesia,ID,Banda Aceh|Baruh|Bueng|Daja (Indonesia)|Pase|Pidie|Tunong,Aceh|Acehnese language|Acehnesiska|Aceh’n kieli|Achehnese|Achen|Achinese|Atjeh|Atjehnese|Atjehs|Atschin|Aĉea lingvo,long grammar,threatened,224,Latin
acf,sain1246,Saint Lucian Creole French,Indo-European,indo1319,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Oil > Central Oil > Macro-French > Circum-Caribbean French > Lesser Antillean French Creole,North America,LC,San Miguel Creole French|St Lucian Patois,Créole sainte-lucien|Kwèyòl|Kwéyòl|Lesser Antillean Creole French|Lesser Antillean Creole French.|Lesser Antillies Creole French|Patois|Patwa|Trinidadian Creole French,grammar,not endangered,106,Latin
ach,acol1236,Acoli,Nilotic,nilo1247,Nilotic > Western Nilotic > Lwoo > Southern Lwoo,Africa,SS;UG,Dhopaluo|Labwor|Nyakwai,Acholi|Acholi language|Acoli jezik|Acooli|Akoli|Atcholeg|Atscholi|Bahasa Acholi|Dok Acoli|Gang|Labwor|Log Acoli,long grammar,not endangered,150,Latin
aci,akac1240,Akacari,Great Andamanese,grea1241,Great Andamanese > North Andamanese-Akakede > Northern Great Andamanese > Bo-Cari,Eurasia,IN,,Aka-Cari|Aka-Cari language|Aka-Charíar|Andamanese|Cari|Chariar|Great Andamanese|Lèngua Aka-Cari|Tšari,grammar sketch,extinct,9,Latin
ack,akak1251,Akakora,Great Andamanese,grea1241,Great Andamanese > North Andamanese-Akakede > Northern Great Andamanese > Jeru-Kora,Eurasia,IN,,Aka-Cora|Aka-Khora|Aka-Kora|Aka-Kora language|Bahasa Aka-Kora|Great Andamanese|Idioma kora|Khora|Kora|Koran kieli|Lèngua Aka-Kora,grammar sketch,extinct,5,Latin
acl,akar1243,Akarbale,Great Andamanese,grea1241,Great Andamanese > South Great Andamanese,Eurasia,IN,,Akar-Bale|Akar-Bale language|Bahasa Akar-Bale|Bale|Balwa|Great Andamanese|Język akar-bale|Lèngua Akar-Bale,grammar sketch,extinct,3,Latin
acm,meso1252,Gilit Mesopotamian Arabic,Afro-Asiatic,afro1255,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Eastern Arabic,Eurasia,IQ;IR;JO;SY;TR,Anatolian Cluster|Euphrates Cluster|Kawliya|Tigris Cluster,"Arabeg Mezopotamia|Arabi|Arabic|Arabic (Eastern)|Arabic (Iraqi)|Arabic, Mesopotamian Spoken|Bagdahdi Arabic|Baghdadi Arabic|Dialekty mezopotamskie języka arabskiego|Furati|Irakisch-Arabisch|Irakisk arabiska",long grammar,not endangered,59,Arabic
acn,acha1249,Longchuan Achang,Sino-Tibetan,sino1245,Sino-Tibetan > Burmo-Qiangic > Lolo-Burmese > Burmish > Southern Burmish > Achangic,Eurasia,CN;MM,Longchuan|Maingtha|Xiandao,Acang|Ach'ang|Achang|Achung|Ahchan|Anchan|Atchangeg|Atsang|Atśang|Bahasa Achang|Chintaw|Chung,long grammar,shifting,39,Latin
acp,east2403,Eastern Acipa,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Kainji > Central Kainji > Shiroro-Kamuku > Kamuku-Hungwarya > Kamuku > Rogo-Sagamuk-Sama-Sambuga > Sagamuk-Sama-Sambuga,Africa,NG,Boroma,"Achipa|Acipa, Eastern|Acipanci|Sagamuk",Wordlist or less,not endangered,6,Latin
acq,taiz1242,Ta'izzi-Adeni Arabic,Afro-Asiatic,afro1255,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic,Eurasia,ER;SA;YE,Adeni|Ta'izzi,"Arabic|Arabic, Ta'izzi-Adeni Spoken|Djibouti Arabic|Southern Yemeni Spoken Arabic|Yemeni Arabic|Јеменски арапски јазик|لهجة يمنية",grammar,not endangered,108,Arabic
acr,achi1256,Achi,Mayan,maya1287,Mayan > Core Mayan > Quichean-Mamean > Greater Quichean > Core Quichean > Quiche-Achi,North America,GT,,"Achi'|Achi', Rabinal|Achí|Idioma achí|Língua achi|Rabinal K'iche'|Ачиски јазик",grammar,threatened,89,Latin
acs,acro1239,Acroá,Nuclear-Macro-Je,nucl1710,Nuclear-Macro-Je > Je > Cerrado > Central Je,South America,BR,,Acroa|Acroamirim|Akroá|Coroá|Koroá,Wordlist or less,extinct,8,Latin
act,,Achterhoeks,,,,,,,,,,,Latin
acu,achu1248,Achuar-Shiwiar,Chicham,jiva1245,Chicham > Shuaric,South America,EC;PE,Achuar|Shiwiar,Achual|Achuale|Achuall|Achuar|Achuar chicham|Achuara|Chiwaro|Hivaro|Huambisa|Huambisa (wampis)|Hívaro|Jibaro,long grammar,shifting,145,Latin
acv,achu1247,Achumawi,Palaihnihan,pala1350,Palaihnihan,North America,US,,Achoma'wi|Achomawi|Achoumawieg|Achowawi|Achumawi language|Lingua achumawi|Pitt River,grammar sketch,nearly extinct,25,Latin
acw,hija1235,Hijazi Arabic,Afro-Asiatic,afro1255,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic,Eurasia,SA;YE,Coastal Tihaamah|North Hijazi|South Hijazi|Valley Tihaamah,"Arabeg hijaziek|Arabic|Arabic (Eastern)|Arabic (Hijazi)|Arabic, Hijazi Spoken|Bedouin-Hijazi|Hejazi Arabic|Hijazi|Hijazi Spoken|Hijazi arapski|Saudi Arabic|West Arabian Colloquial Arabic",long grammar,not endangered,62,Arabic
acx,oman1239,Omani Arabic,Afro-Asiatic,afro1255,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic > North Arabian Beduin Arabic,Eurasia,AE;OM,,"Arabic|Arabic, Omani Spoken|Omani Hadari Arabic|Omanski arapski|Omanī|Омански арапски јазик|ภาษาอาหรับโอมาน",long grammar,not endangered,100,Arabic
acy,cypr1248,Cypriot Arabic,Afro-Asiatic,afro1255,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Levantine-Cypriot Arabic,Eurasia,CY,,"Arabe chypriote|Arabeg Kiprenez|Arabic|Arabic (Eastern)|Arabic (Kormakiti)|Arabic, Cypriot Spoken|Cipriotski arapski|Cypriot Arabic Kormakiti|Cypriot Arabic: Kormakiti|Cypriot Maronite Arabic|Cypriot Spoken|Cypriot Spoken Arabic",long grammar,shifting,31,Latin
acz,ache1245,Acheron,Narrow Talodi,narr1279,Narrow Talodi > Buram-Saraf > Acheron-Tocho,Africa,SD,Eastern Acheron|Western Acheron,Aceron|Achurun|Asheron|Garme,grammar sketch,threatened,11,Latin
ada,adan1247,Adangme,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Ga-Dangme,Africa,GH,Ada|Gbugbla|Krobo|Ningo|Osu|Shai,Adangme language|Adangmeg|Dangme|Lenga Adangbe|adangme,grammar sketch,not endangered,271,Latin
adb,adab1235,Adabe,Bookkeeping,book1242,Bookkeeping,Papunesia,ID;TL,,Adabe language|Ataura|Atauro|Atauru|Lingua adabe|Raklu Un|Raklu-Un|South Andamanese,Wordlist or less,not endangered,1,Latin
add,dzod1238,Dzodinka,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Wide Grassfields > Narrow Grassfields > Mbam-Nkam > Nkambe,Africa,CM;NG,,Adere|Adiri|Arderi|Dzodzinka,phonology/text,not endangered,12,Latin
ade,adel1244,Adele,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Na-Togo > Basila-Adele,Africa,GH;TG,Lower Adele|Upper Adele,Adele language|Adelen kieli|Adelska|Bedere|Bidire|Gadre|Gidire|Idioma adele|Lenga Adele|Lingau adele|Língua adele,grammar sketch,not endangered,25,Latin
adf,dhof1235,Dhofari Arabic,Afro-Asiatic,afro1255,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic > North Arabian Beduin Arabic > Dhofaric,Eurasia,OM,,"Arabic|Arabic, Dhofari Spoken|Dhofari|Dhofari arapski|Zofari|Дофариски арапски јазик|ภาษาอาหรับโดฟารี",long grammar,not endangered,3,Arabic
adg,ande1247,Andegerebinha,Pama-Nyungan,pama1250,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte > Central-Eastern Arrernte,Australia,AU,Ayerrerenge,Andagerebina|Andakerebina|Andeberegina|Andegerebenha|Andigibinha|Antakiripina|Antekerrepenh|Antekerrepenhe|Antekerrepinhe|Arandic|Undekerebina|Walwallie,grammar sketch,extinct,25,Latin
adh,adho1243,Adhola,Nilotic,nilo1247,Nilotic > Western Nilotic > Lwoo > Southern Lwoo > Adhola-Alur-Luo > Adhola-Luo,Africa,KE;UG,,Adhola jezik|Dhopadhola|Jopadhola|Jopadhɔla|Ludama,grammar sketch,not endangered,10,Latin
adi,bori1243,Bori-Karko,Sino-Tibetan,sino1245,Sino-Tibetan > Macro-Tani > Tani > Eastern Tani,Eurasia,BT;CN;IN,Bori (India)|Karko (India)|Komkar|Pasi (India)|Shimong,Abhor|Abor|Abor-Miri|Adi|Adi-Bokar|Bengni|Bengni-Boga'er|Boga'er|Boga'er Luoba|Bokar|Lho-Pa|Lhoba,grammar,not endangered,33,Latin
adj,adio1239,Adioukrou,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Nyo > Agneby,Africa,CI,,Adjukru|Adyoukrou|Adyukru|Ajukru,long grammar,not endangered,53,Latin
adl,galo1242,Galo,Sino-Tibetan,sino1245,Sino-Tibetan > Macro-Tani > Tani > Pre-Western Tani > Western Tani > Subansiri,Eurasia,IN,,"Abor|Adi|Adi, Galo|Adi,Galo|Adi-Gallong|Adi-Galo|Adi-galo|Gallong|Galong",long grammar,threatened,27,Latin
adn,adan1251,Adang,Timor-Alor-Pantar,timo1261,Timor-Alor-Pantar > Alor-Pantar > Nuclear Alor-Pantar > West Alor-Straits-Pantar > West Alor,Papunesia,ID,Aimoli,Adang language|Alor|Lingua adang,long grammar,shifting,5,Latin
ado,abuu1241,Abu,Ramu,ramu1234,Ramu > Agoan,Papunesia,PG,Auwa|Nuclear Abu|Sabu (Papua New Guinea),Adjora|Adjoria|Azao,Wordlist or less,shifting,12,Latin
adp,adap1234,Adap,Bookkeeping,book1242,Bookkeeping,Eurasia,BT,,,Wordlist or less,,1,
adq,adan1248,Adangbe,Atlantic-Congo,atla1278,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Gbe > Western Gbe > Eweic,Africa,GH;TG,,Adan|Adantonwi|Agotime|Dangbe,phonology/text,threatened,8,Latin
